96, 102, 108, 114
58, 59, 63, 65
79, 83, 84, 145
83, 84, 134, 137
115, 113, 110, 105
144, 81, 80, 81
78, 77, 70, 81
110, 112, 101, 108
82, 83, 147, 149
95, 99, 92, 119
93, 95, 96, 110
118, 119, 135, 137
100, 103, 104, 110
64, 67, 70, 72
60, 69, 70, 77
100, 104, 106, 109
81, 82, 83, 85
115, 118, 125, 127
105, 106, 109, 110
100, 102, 104, 107
95, 96, 97, 98
138, 141, 143, 150
80, 77, 82, 83
100, 119, 108, 97
81, 83, 84, 82
70, 71, 72, 73
90, 90, 90, 90
90, 90, 95, 95
100, 90, 100, 100
100, 90, 105, 105
110, 90, 110, 110
110, 90, 115, 115
90, 90, 120, 120
115, 90, 125, 125
118, 90, 130, 130
99, 103, 100, 112
93, 105, 108, 113
105, 101, 120, 125
150, 105, 118, 103
84, 110, 89, 86
90, 110, 142, 108
88, 80, 95, 141
72, 70, 100, 88
90, 94, 88, 135
91, 92, 80, 101
110, 102, 80, 135
119, 78, 99, 123
110, 98, 65, 120
90, 100, 110, 120
78, 100, 100, 120
99, 92, 100, 120
88, 100, 101, 130
100, 100, 100, 100
140, 145, 100, 120
65, 82, 102, 135
100, 100, 110, 103
88, 65, 117, 91
50, 55, 99, 67
58, 69, 100, 72
95, 100, 98, 100
130, 128, 132, 139
140, 150, 131, 139
92, 93, 94, 95
88, 82, 101, 103
100, 98, 103, 118
150, 95, 99, 93
100, 100, 100, 120
99, 91, 121, 103
100, 100, 121, 119
99, 92, 82, 54
65, 67, 134, 130
75, 78, 88, 81
80,80,82,87
92, 102, 95, 120
100, 95, 105, 120
125, 127, 135, 139
129, 132, 139, 133
85, 82, 79, 83
99, 93, 102, 109
101, 107, 111, 118
109, 112, 122, 128
91, 99, 102, 107
78, 82, 85, 77
99, 98, 97, 100
91, 90, 82, 79
135, 136, 137, 138
140, 142, 99, 95
92, 94, 96, 98
98, 100, 102, 104
100, 104, 108, 112
110, 113, 116, 119
110, 111, 112, 113
70, 72, 74, 76
77, 79, 81, 83
100, 104, 108, 112
118, 119, 103, 105
